Type,Make,Model,Year,EngineType,Color,Doors,Transmission
Coupe,Chevrolet,Camaro,2022,Gasoline,Black,2,RWD
Coupe,Chevrolet,Corvette,2015,Gasoline,Red,2,RWD
Coupe,Ford,Mustang,2019,Gasoline,White,2,RWD
Sedan,Ford,Taurus,2019,Gasoline,Gray,4,FWD
Sedan,Ford,Fusion,2015,Hybrid,Brown,4,FWD
Sedan,Ford,Fusion,2017,Hybrid,Black,4,FWD
SUV,Ford,Mustang,2023,Electric,White,4,AWD
Coupe,Honda,Civic,2018,Gasoline,Black,2,FWD
Coupe,Honda,Accord,2016,Gasoline,Black,2,FWD
Coupe,Honda,CR-Z,2013,Hybrid,White,2,FWD
Sedan,Honda,Accord,2021,Gasoline,Black,4,FWD
Sedan,Honda,Civic,2022,Gasoline,White,4,FWD
Sedan,Honda,Accord,2019,Hybrid,Gray,4,FWD
Coupe,Hyundai,Veloster,2022,Gasoline,White,3,FWD
Coupe,Hyundai,Genesis,2015,Gasoline,Gray,2,RWD
Coupe,Hyundai,Elantra,2013,Gasoline,Silver,2,FWD
Coupe,Toyota,86,2017,Gasoline,Black,2,RWD
Coupe,Toyota,GR,2022,Gasoline,Yellow,2,RWD
Sedan,Toyota,Camry,2020,Gasoline,Black,4,FWD
Sedan,Toyota,Corolla,2021,Gasoline,White,4,FWD
Sedan,Toyota,Avalon,2014,Gasoline,Gray,4,FWD
Sedan,Toyota,Camry,2023,Hybrid,Gray,4,FWD
Sedan,Toyota,Avalon,2018,Hybrid,Silver,4,FWD
Sedan,Chevrolet,Sonic,2019,Gasoline,White,4,FWD
Sedan,Chevrolet,Malibu,2022,Gasoline,Silver,4,FWD
Sedan,Chevrolet,Cruze,2018,Gasoline,Silver,4,FWD
Sedan,Chevrolet,Malibu,2019,Hybrid,Gray,4,FWD
SUV,Chevrolet,Equinox,2018,Diesel,Black,4,FWD
SUV,Chevrolet,Tahoe,2021,Diesel,Black,4,4WD
SUV,Chevrolet,Blazer,2021,Gasoline,Gray,4,FWD
SUV,Chevrolet,Trailblazer,2023,Gasoline,Black,4,FWD
SUV,Chevrolet,Traverse,2023,Gasoline,Gray,4,FWD
Truck,Chevrolet,Silverado,2021,Diesel,White,4,4WD
Truck,Chevrolet,Colorado,2018,Diesel,Gray,4,AWD
Truck,Chevrolet,Silverado,2019,Gasoline,Gray,4,RWD
Truck,Chevrolet,Colorado,2018,Gasoline,Black,4,RWD
SUV,Ford,Bronco,2022,Gasoline,Blue,2,4WD
SUV,Ford,Explorer,2020,Gasoline,Gray,4,RWD
SUV,Ford,Expedition,2020,Gasoline,White,4,FWD
SUV,Ford,Escape,2020,Hybrid,Blue,4,4WD
SUV,Ford,Explorer,2020,Hybrid,Silver,4,4WD
Truck,Ford,F150,2019,Diesel,Blue,4,RWD
Truck,Ford,F150,2022,Electric,Silver,4,4WD
Truck,Ford,F150,2023,Gasoline,Gray,4,4WD
Truck,Ford,Maverick,2023,Gasoline,Gray,4,FWD
Truck,Ford,Ranger,2021,Gasoline,Blue,4,RWD
Truck,Ford,Maverick,2022,Hybrid,Silver,4,FWD
Sedan,Honda,Clarity,2018,Hybrid,White,4,FWD
Sedan,Honda,Insight,2022,Hybrid,Silver,4,FWD
Sedan,Honda,Civic,2015,Hybrid,Black,4,FWD
SUV,Honda,Passport,2022,Gasoline,Black,4,AWD
SUV,Honda,HR-V,2023,Gasoline,White,4,AWD
SUV,Honda,CR-V,2022,Gasoline,Gray,4,AWD
SUV,Honda,CR-V,2022,Hybrid,Gray,4,AWD
Truck,Honda,Ridgeline,2017,Gasoline,White,4,FWD
Sedan,Hyundai,IONIQ,2023,Electric,Red,4,RWD
Sedan,Hyundai,Elantra,2017,Electric,Gray,4,FWD
Sedan,Hyundai,Elantra,2022,Gasoline,Black,4,FWD
Sedan,Hyundai,Sonata,2022,Gasoline,White,4,FWD
Sedan,Hyundai,Accent,2022,Gasoline,Gray,4,FWD
Sedan,Hyundai,Sonata,2021,Hybrid,White,4,FWD
Sedan,Hyundai,Elantra,2021,Hybrid,White,4,FWD
SUV,Hyundai,Kona,2020,Electric,White,4,FWD
SUV,Hyundai,Tucson,2023,Gasoline,Silver,4,AWD
SUV,Hyundai,Palisade,2022,Gasoline,Black,4,AWD
SUV,Hyundai,Kona,2021,Gasoline,White,4,AWD
SUV,Hyundai,Tucson,2022,Hybrid,White,4,AWD
SUV,Hyundai,Santa Fe,2022,Hybrid,Black,4,AWD
Truck,Hyundai,Santa Cruz,2022,Gasoline,Black,4,AWD
Sedan,Toyota,Corolla,2020,Hybrid,Red,4,FWD
SUV,Toyota,Rav4,2014,Electric,Blue,4,FWD
SUV,Toyota,bZ4X,2023,Electric,Red,4,AWD
SUV,Toyota,Rav4,2021,Gasoline,Gray,4,FWD
SUV,Toyota,Corolla,2022,Gasoline,Black,4,FWD
SUV,Toyota,4Runner,2020,Gasoline,White,4,4WD
SUV,Toyota,Rav4,2022,Hybrid,Gray,4,AWD
SUV,Toyota,Venza,2021,Hybrid,White,4,AWD
SUV,Toyota,Highlander,2022,Hybrid,White,4,FWD
Truck,Toyota,Tacoma,2021,Gasoline,Gray,4,RWD
Truck,Toyota,Tundra,2013,Gasoline,Red,4,RWD
